Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB
myciel3,11,20,0.3640,7,0.0360,Ótimo,4,8
johnson8-2-4,28,210,0.5560,7,0.1240,Ótimo,4,15
queen6_6,36,290,0.4600,8,0.2440,Ótimo,5,19
MANN_a9,45,918,0.9270,4,0.0540,Ótimo,3,6
queen7_7,49,476,0.4050,9,0.6470,Ótimo,5,27
queen10_10,100,1470,0.2970,13,185.7550,Ótimo,7,67
miles250,125,387,0.0500,61,0.4980,Ótimo,15,111
DSJC125.1,125,736,0.0950,33,107.7670,Ótimo,11,104
DSJC125.9,125,6961,0.8980,4,0.4240,Ótimo,4,7
miles500,128,1170,0.1440,27,0.0860,Ótimo,8,92
queen12_12,144,2596,0.2520,16,900.4760,Melhor,8,103
zeroin.i.3,157,3540,0.2890,6,0.0930,Ótimo,4,19
zeroin.i.2,157,3541,0.2890,6,0.0920,Ótimo,4,19
brock200_3,200,12048,0.6050,7,47.8200,Ótimo,4,68
sanr200_0.7,200,13868,0.6970,6,14.0520,Ótimo,4,41
san200_0.9_2,200,17910,0.9000,4,0.7880,Ótimo,4,14
san200_0.9_1,200,17910,0.9000,4,1.2870,Ótimo,4,11
DSJC250.1,250,3218,0.1030,35,900.2020,Melhor,14,214
DSJC250.5,250,15668,0.5030,9,900.3560,Melhor,5,105
C250.9,250,27984,0.8990,4,1.8780,Ótimo,4,16
queen16_16,256,6320,0.1940,21,900.2830,Melhor,10,199
hamming8-2,256,31616,0.9690,4,7.5320,Ótimo,4,11
fpsol2.i.1,269,11654,0.3230,5,0.2710,Ótimo,4,19
school1_nsh,352,14612,0.2370,42,2.1790,Ótimo,4,122
fpsol2.i.2,363,8691,0.1320,5,0.2690,Ótimo,4,19
school1,385,19095,0.2580,42,2.9160,Ótimo,4,105
san400_0.5_1,400,39900,0.5000,8,900.5690,Melhor,5,177
sanr400_0.5,400,39984,0.5010,10,900.5410,Melhor,5,169
san400_0.7_2,400,55860,0.7000,6,742.4910,Ótimo,4,98
brock400_4,400,59765,0.7490,6,555.1090,Ótimo,4,76
san400_0.9_1,400,71820,0.9000,4,26.2380,Ótimo,4,28
gen400_p0.9_55,400,71820,0.9000,4,48.9820,Ótimo,4,27
le450_5d,450,9757,0.0970,42,900.2700,Melhor,14,384
le450_5c,450,9803,0.0970,42,900.1740,Melhor,15,386
le450_25c,450,17343,0.1720,31,28.5990,Ótimo,6,273
c-fat500-1,500,4459,0.0360,80,3.2050,Ótimo,45,482
DSJC500.1,500,12458,0.1000,44,903.2480,Melhor,16,434
DSJR500.1c,500,121275,0.9720,4,3.3770,Ótimo,3,5
inithx.i.3,559,13969,0.0900,6,0.4600,Ótimo,4,19
p_hat700-1,700,60999,0.2490,18,900.7740,Melhor,6,416
p_hat700-2,700,121728,0.4980,9,901.4520,Melhor,4,163
keller5,776,225990,0.7520,5,187.1160,Ótimo,4,140
brock800_2,800,208166,0.6510,8,902.0330,Melhor,4,236
latin_square_10,900,307350,0.7600,5,408.6150,Ótimo,4,219
DSJC1000.1,1000,49629,0.0990,50,900.5890,Melhor,17,875
DSJC1000.5,1000,249826,0.5000,11,902.3330,Melhor,5,451
DSJC1000.9,1000,449449,0.9000,5,903.9900,Melhor,4,78
hamming10-4,1024,434176,0.8290,5,295.8260,Ótimo,4,178
p_hat1500-2,1500,568960,0.5060,10,905.3480,Melhor,4,349
C4000.5,4000,4000268,0.5000,32,945.8620,Melhor,5,1879
