Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB
dwt_59,59,104,0.06,43.0,1.14,Ótimo,21,56
dwt_66,66,127,0.06,39.0,0.04,Ótimo,23,63
bcsstm03,112,0,0.00,224.0,0.10,Ótimo,224,224
bcsstk03,112,264,0.04,60.0,1.51,Ótimo,40,106
bcsstm04,132,0,0.00,264.0,0.01,Ótimo,264,264
bcsstk22,138,279,0.03,98.0,12.25,Ótimo,51,133
can_144,144,576,0.06,36.0,0.03,Ótimo,21,132
can_187,187,652,0.04,64.0,0.87,Ótimo,39,180
dwt_198,198,597,0.03,84.0,0.06,Ótimo,54,171
can_229,229,774,0.03,102.0,431.22,Ótimo,37,219
nos1,237,390,0.01,184.0,900.57,Melhor,118,235
dwt_245,245,608,0.02,149.0,48.17,Ótimo,39,235
can_268,268,1407,0.04,48.0,0.67,Ótimo,16,234
dwt_307,307,1108,0.02,112.0,92.01,Ótimo,70,301
dwt_346,346,1440,0.02,163.0,185.48,Ótimo,46,333
dwt_361,361,1296,0.02,146.0,900.07,Melhor,82,355
plat362,362,2712,0.04,76.0,36.25,Ótimo,40,346
dwt_419,419,1572,0.02,159.0,900.09,Melhor,66,409
bcsstm06,420,0,0.00,840.0,0.03,Ótimo,840,840
bcsstm20,485,0,0.00,970.0,0.06,Ótimo,970,970
dwt_503,503,2762,0.02,150.0,900.10,Melhor,42,481
dwt_607,607,2262,0.01,221.0,869.08,Ótimo,107,578
662_bus,662,906,0.00,521.0,99.93,Ótimo,134,655
bfw782b,782,2600,0.01,355.0,900.97,Melhor,123,762
bcsstm19,817,0,0.00,1634.0,0.06,Ótimo,1634,1634
can_838,838,4586,0.01,188.0,14.76,Ótimo,54,809
young2c,841,1624,0.00,549.0,900.13,Melhor,338,839
young3c,841,1671,0.00,530.0,900.12,Melhor,212,836
dwt_869,869,3208,0.01,317.0,900.17,Melhor,126,858
dwt_878,878,3285,0.01,305.0,181.08,Ótimo,177,871
dwt_1005,1005,3808,0.01,408.0,900.16,Melhor,76,981
jagmesh2,1009,2928,0.01,473.0,900.13,Melhor,290,1005
can_1054,1054,5571,0.01,208.0,31.41,Ótimo,62,1022
bcsstk09,1083,8677,0.01,193.0,900.25,Melhor,96,1063
1138_bus,1138,1458,0.00,959.0,7.02,Ótimo,128,1123
jagmesh8,1141,3162,0.00,551.0,900.14,Melhor,327,1137
bcsstm27,1224,27451,0.04,78.0,0.90,Ótimo,47,1173
jagmesh4,1440,4032,0.00,696.0,900.25,Melhor,413,1436
bcspwr06,1454,1923,0.00,1181.0,243.58,Ótimo,225,1444
bcsstk11,1473,16384,0.02,219.0,900.97,Melhor,130,1443
lshp1561,1561,4560,0.00,730.0,900.19,Melhor,447,1557
plat1919,1919,15240,0.01,377.0,900.37,Melhor,203,1903
bcsstm26,1922,0,0.00,3844.0,0.15,Ótimo,3844,3844
bcsstk13,2003,40940,0.02,216.0,900.59,Melhor,44,1911
lshp2233,2233,6552,0.00,1035.0,900.47,Melhor,639,2229
bcsstk23,3134,21022,0.00,916.0,900.64,Melhor,204,3106
bcsstk24,3562,78174,0.01,261.0,901.05,Melhor,126,3508
bcsstk21,3600,11500,0.00,1718.0,900.38,Melhor,802,3588
bcsstk15,3948,56934,0.01,545.0,900.86,Melhor,193,3913
bcspwr10,5300,8271,0.00,3835.0,900.63,Melhor,759,5289
